,artists,album_name,track_name,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
1606,AC/DC,Back In Black,Back In Black,255493,False,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,4,hard-rock
1607,Sleepy Hallow;347aidan,Die Young (feat. 347aidan),Die Young (feat. 347aidan),148816,True,0.808,0.582,11,-6.26,1,0.338,0.827,0.0,0.111,0.675,77.471,4,r-n-b
1608,Ludovico Einaudi;Daniel Hope;I Virtuosi Italiani,In A Time Lapse,Experience,315426,False,0.447,0.449,2,-10.634,1,0.0376,0.934,0.961,0.0697,0.036,92.468,4,classical
1609,Zedd;Foxes,Clarity,Clarity,271426,False,0.509,0.781,8,-3.48,1,0.072,0.0398,0.0,0.0749,0.176,128.0,4,techno
1610,M83,"Hurry up, We're Dreaming",Midnight City,243960,False,0.507,0.729,11,-5.399,0,0.0393,0.0182,1.4e-06,0.0658,0.272,105.013,4,french
1611,Soundgarden,Superunknown (Deluxe Edition),Black Hole Sun,318586,False,0.35,0.828,6,-5.373,1,0.041,0.000217,0.000161,0.0774,0.147,105.435,4,hard-rock
1612,Bad Bunny,YHLQMDLG,La Zona,136892,True,0.762,0.801,1,-3.661,0,0.0409,0.2,7.04e-05,0.254,0.81,93.992,4,reggaeton
1613,George Harrison,All Things Must Pass (Remastered 2014),My Sweet Lord - Remastered 2014,281226,False,0.537,0.701,1,-8.913,0,0.0335,0.0972,0.0,0.0832,0.583,120.919,4,singer-songwriter
1614,Bad Bunny;Bomba Estéreo,Un Verano Sin Ti,Ojitos Lindos,258298,False,0.647,0.686,3,-5.745,0,0.0413,0.08,1.34e-06,0.528,0.268,79.928,4,reggae
1615,Wizkid;Tems,Made In Lagos,Essence (feat. Tems),248040,False,0.849,0.707,0,-6.002,1,0.113,0.0266,8.58e-06,0.618,0.602,104.027,4,dancehall
1616,Marshmello;Anne-Marie,FRIENDS,FRIENDS,202620,True,0.626,0.88,9,-2.384,0,0.0504,0.205,0.0,0.128,0.534,95.079,4,dance
1617,Camilo;Shawn Mendes,KESI (Remix),KESI - Remix,176575,False,0.871,0.815,4,-4.439,1,0.0477,0.127,6.18e-06,0.094,0.823,122.959,4,reggaeton
1618,The Notorious B.I.G.,Ready to Die (The Remaster),Juicy - 2005 Remaster,302760,True,0.889,0.818,9,-4.639,1,0.253,0.47,0.0,0.179,0.782,96.063,4,hardcore
1619,Chris Brown,Indigo (Extended),Under The Influence,184613,True,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,4,pop
1620,Marshmello;Juice WRLD,Bye Bye,Bye Bye,108498,True,0.645,0.525,3,-5.399,0,0.0355,0.0574,0.0,0.505,0.238,83.018,4,edm
1621,Lil Peep,Star Shopping,Star Shopping,142000,True,0.538,0.471,4,-9.84,0,0.0955,0.0946,0.0185,0.116,0.307,93.07,4,emo
1622,DJ Snake;Selena Gomez;Ozuna;Cardi B,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",212500,True,0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,4,electronic
1623,The Human League,Dare!,Don't You Want Me,236920,False,0.731,0.738,9,-8.125,0,0.0377,0.184,0.0,0.214,0.958,117.656,4,synth-pop
1624,Zedd;Alessia Cara,Stay,Stay,210090,False,0.69,0.622,5,-5.025,0,0.0622,0.253,0.0,0.116,0.544,102.04,4,electro
1625,G-Eazy;Halsey,The Beautiful & Damned,Him & I (with Halsey),268866,True,0.589,0.731,2,-6.343,1,0.0868,0.0534,0.0,0.308,0.191,87.908,4,indie
1626,Muni Long,Public Displays Of Affection,Hrs & Hrs,204316,True,0.523,0.521,6,-4.746,1,0.159,0.607,0.0,0.107,0.661,133.953,3,indie-pop
1627,Joy Again,Looking Out for You,Looking Out for You,179499,False,0.682,0.9,9,-5.028,1,0.0874,0.0884,0.063,0.0685,0.937,100.721,4,indie-pop
1628,Lost Frequencies;Calum Scott,Where Are You Now,Where Are You Now,148197,False,0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966,4,dance
1629,Topic;A7S,Breaking Me,Breaking Me,166793,False,0.789,0.72,8,-5.652,0,0.218,0.223,0.0,0.129,0.664,122.031,4,german
1630,SEVENTEEN,SEVENTEEN 4th Album 'Face the Sun',HOT,197586,False,0.765,0.777,5,-4.376,0,0.0399,0.0539,2.58e-06,0.338,0.64,111.944,4,k-pop
1631,Mitski,Puberty 2,I Bet on Losing Dogs,170240,False,0.398,0.493,9,-9.561,1,0.0303,0.00347,0.000157,0.106,0.412,82.048,4,indie-pop
1632,Tears For Fears,Songs From The Big Chair (Super Deluxe Edition),Everybody Wants To Rule The World,251488,False,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,4,synth-pop
1633,Cage The Elephant,Melophobia,Cigarette Daydreams,208760,False,0.636,0.676,2,-3.442,1,0.0263,0.0807,0.0,0.0831,0.273,113.98,4,punk
1634,Zara Larsson;MNEK,So Good,Never Forget You,213427,False,0.583,0.732,11,-5.728,0,0.0457,0.00312,9.86e-06,0.269,0.276,145.992,4,swedish
1635,Anuel AA;Daddy Yankee;Zion & Lennox;Farruko;Wisin,Sola (Remix),Sola (Remix),307910,False,0.639,0.869,11,-4.024,1,0.147,0.27,0.0,0.0802,0.767,169.801,4,latino
1636,Corinne Bailey Rae,Corinne Bailey Rae,Put Your Records On,215360,False,0.739,0.511,9,-7.844,1,0.0362,0.167,1.34e-06,0.133,0.542,96.038,4,british
1637,Doja Cat,Planet Her,Need to Know,210560,True,0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,130.041,4,dance
1638,Ghost,Seven Inches Of Satanic Panic,Mary On A Cross,244804,False,0.466,0.9,11,-4.469,1,0.0447,0.000235,0.00104,0.103,0.561,130.02,4,rock
1639,Bad Bunny,Un Verano Sin Ti,Efecto,213061,False,0.801,0.475,7,-8.797,0,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,4,latino
1640,Imanbek;BYOR,Belly Dancer,Belly Dancer,151475,False,0.845,0.797,1,-4.984,1,0.139,0.0582,5.57e-06,0.167,0.422,121.985,4,edm
1641,Nirvana,Nevermind (Remastered),Come As You Are,218920,False,0.5,0.824,4,-5.846,0,0.0388,0.00016,0.00161,0.0916,0.539,120.125,4,grunge
1642,Nio Garcia;J Balvin;Bad Bunny,AM Remix,AM Remix,261334,True,0.743,0.655,6,-5.015,0,0.159,0.114,0.0,0.0764,0.785,172.031,4,latino
1643,Jay Wheeler;DJ Nelson;Myke Towers,Platonicos,La Curiosidad,219048,False,0.845,0.677,11,-4.798,0,0.136,0.269,0.000917,0.108,0.68,90.013,4,reggaeton
1644,De La Ghetto;Rauw Alejandro,Loco Por Perrearte (Remix),Loco Por Perrearte - Remix,199148,True,0.848,0.673,11,-4.034,0,0.058,0.0147,0.00652,0.102,0.39,93.987,4,latino
1645,なとり,Overdose,Overdose,197093,False,0.733,0.598,4,-9.453,0,0.0377,0.0307,1.7e-05,0.218,0.831,118.012,4,j-pop
1646,Adele,30,I Drink Wine,376169,False,0.437,0.565,10,-5.596,1,0.0466,0.697,0.0,0.119,0.306,115.389,4,soul
1647,Shakira;Freshlyground,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),202626,False,0.766,0.873,11,-6.381,0,0.143,0.00627,0.0,0.0764,0.743,126.988,4,dance
1648,Dua Lipa,Future Nostalgia,Levitating,203807,False,0.695,0.884,6,-2.278,0,0.0753,0.0561,0.0,0.213,0.914,103.014,4,dance
1649,JVKE,this is what ____ feels like (Vol. 1-4),golden hour,209259,False,0.515,0.593,4,-4.801,1,0.0322,0.653,0.162,0.25,0.153,94.467,3,indie-pop
1650,Clean Bandit;Sean Paul;Anne-Marie,Rockabye (feat. Sean Paul & Anne-Marie),Rockabye (feat. Sean Paul & Anne-Marie),251088,False,0.72,0.763,9,-4.068,0,0.0523,0.406,0.0,0.18,0.742,101.965,4,edm
1651,Bad Bunny,YHLQMDLG,La Difícil,163084,True,0.685,0.848,8,-4.561,0,0.0858,0.0861,7.14e-06,0.0783,0.761,179.87,4,latino
1652,Ed Sheeran,÷ (Deluxe),Perfect,263400,False,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,3,pop
1653,Nirvana,Nevermind (Remastered),Smells Like Teen Spirit,301920,False,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,4,grunge
1654,The Righteous Brothers,Just Once In My Life,Unchained Melody,218013,False,0.339,0.208,0,-16.725,1,0.0308,0.396,0.000519,0.18,0.288,98.54,3,rockabilly
1655,Calvin Harris;Dua Lipa;Young Thug,Potion (with Dua Lipa & Young Thug),Potion (with Dua Lipa & Young Thug),214459,True,0.824,0.697,11,-4.869,0,0.0473,0.158,4.11e-05,0.077,0.757,99.988,4,house
1656,Red Hot Chili Peppers,Stadium Arcadium,Snow (Hey Oh),334666,False,0.427,0.9,11,-3.674,1,0.0499,0.116,1.75e-05,0.119,0.599,104.655,4,alternative
1657,The Chainsmokers;Halsey,Closer,Closer,244960,False,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,4,electro
1658,The Chainsmokers,So Far So Good,High,175163,True,0.601,0.787,0,-6.178,1,0.031,0.0492,0.0,0.142,0.525,134.981,4,edm
1659,Bad Bunny;ROSALÍA,EL ÚLTIMO TOUR DEL MUNDO,LA NOCHE DE ANOCHE,203200,False,0.856,0.618,7,-4.892,1,0.286,0.0303,0.0,0.0866,0.391,81.993,4,reggae
1660,Chino & Nacho;Daddy Yankee,Andas En Mi Cabeza,Andas En Mi Cabeza,247493,False,0.671,0.954,9,-1.87,1,0.13,0.0244,0.0,0.111,0.556,104.114,4,latino
1661,Cole Swindell,Stereotype,She Had Me At Heads Carolina,206106,False,0.607,0.912,8,-3.449,1,0.0611,0.124,0.0,0.332,0.722,134.944,4,country
1662,Alok;Ella Eyre;Kenny Dope;Never Dull,Deep Down (feat. Never Dull),Deep Down (feat. Never Dull),165752,False,0.687,0.818,0,-4.221,1,0.0778,0.0112,0.0,0.248,0.886,125.952,4,electro
1663,Cults,Static,Always Forever,223746,False,0.174,0.742,8,-5.93,1,0.0485,0.00181,0.281,0.198,0.36,163.378,4,indie-pop
1664,Gorillaz,Gorillaz,Clint Eastwood,340920,True,0.663,0.694,10,-8.627,0,0.171,0.0253,0.0,0.0698,0.525,167.953,4,alternative
1665,Arctic Monkeys,Favourite Worst Nightmare,505,253586,False,0.526,0.866,0,-5.822,1,0.0568,0.00287,7.78e-05,0.0945,0.248,140.266,4,garage
1666,Luis Fonsi;Daddy Yankee,VIDA,Despacito,229360,False,0.655,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.839,177.928,4,latin
1667,Feid,Si Te La Encuentras Por Ahí,Si Te La Encuentras Por Ahí,191573,False,0.743,0.576,8,-3.552,0,0.076,0.151,5.87e-05,0.128,0.455,171.945,4,reggaeton
1668,MARINA,Electra Heart (Deluxe),Bubblegum Bitch,154666,True,0.495,0.856,0,-5.123,0,0.0311,0.000219,0.0,0.103,0.609,158.024,4,electro
1669,Majestic;Boney M.,Rasputin,Rasputin,186209,False,0.758,0.913,6,-2.926,0,0.113,0.00364,6.92e-05,0.193,0.658,128.04,4,dance
1670,Pritam;Tochi Raina;Rekha Bhardwaj,Yeh Jawaani Hai Deewani,Kabira,223459,False,0.59,0.555,2,-6.861,1,0.0271,0.481,0.0,0.192,0.191,84.027,4,indian
1671,Good Charlotte,The Young and The Hopeless,The Anthem,175093,False,0.494,0.939,1,-3.127,1,0.126,0.00666,0.0,0.139,0.893,177.751,4,metal
1672,AP Dhillon;Gurinder Gill,HIDDEN GEMS,DESIRES,168000,False,0.863,0.387,5,-10.057,0,0.256,0.365,0.00238,0.06,0.39,100.013,4,hip-hop
1673,Paramore,After Laughter,Hard Times,182693,False,0.695,0.818,5,-5.379,0,0.0334,0.00647,4.87e-06,0.0219,0.916,119.965,4,punk
1674,Ellie Goulding,Fifty Shades Freed (Original Motion Picture Soundtrack),Love Me Like You Do,253520,False,0.489,0.597,5,-6.633,0,0.0292,0.27,0.0,0.105,0.324,95.012,4,edm
1675,Supertramp,Even In The Quietest Moments,Give A Little Bit,248173,False,0.531,0.818,2,-5.358,1,0.0452,0.0694,0.0096,0.263,0.471,90.767,4,piano
1676,Lauren Spencer Smith,Fingers Crossed,Fingers Crossed,175344,False,0.56,0.473,5,-7.23,1,0.0533,0.618,0.0,0.31,0.441,109.414,4,songwriter
1677,YOASOBI,THE BOOK,夜に駆ける,258838,False,0.663,0.871,8,-5.287,1,0.03,0.00299,1.8e-06,0.337,0.826,130.025,4,j-pop
1678,Guns N' Roses,Appetite For Destruction,Welcome To The Jungle,272026,True,0.447,0.954,8,-8.069,1,0.0751,0.0235,0.403,0.298,0.331,123.453,4,hard-rock
1679,Travis Scott,ASTROWORLD,STARGAZING,270714,True,0.487,0.789,8,-3.69,1,0.044,0.00947,4.05e-06,0.189,0.0564,150.007,4,house
1680,George Harrison,All Things Must Pass (Remastered 2014),My Sweet Lord - Remastered 2014,281226,False,0.537,0.701,1,-8.913,0,0.0335,0.0972,0.0,0.0832,0.583,120.919,4,songwriter
1681,Owl City;Carly Rae Jepsen,The Midsummer Station,Good Time,205933,False,0.56,0.872,3,-4.269,1,0.14,0.0239,6.98e-06,0.371,0.682,126.05,4,indie
1682,White Noise Baby Sleep,White Noise for Sleeping Babies,"White Noise Sleeping Aid to Help My Baby Fall Asleep, Sleep Through the Night",595105,False,0.179,0.00189,1,-25.2,1,0.327,0.982,0.279,0.111,1e-05,81.71,4,sleep
1683,Pritam;Arijit Singh,Chhichhore,Khairiyat,280281,False,0.534,0.481,0,-9.016,0,0.0412,0.697,0.0,0.142,0.293,124.914,4,indian
1684,Aaryan Shah,Renegade,Renegade,222576,True,0.551,0.561,9,-10.408,0,0.0559,0.509,0.367,0.369,0.207,103.118,4,soul
1685,J Balvin;Bad Bunny,OASIS,LA CANCIÓN,242573,False,0.754,0.646,7,-5.795,1,0.317,0.152,1.85e-05,0.108,0.429,176.089,4,latino
1686,Boza,Más Negro Que Rojo,Hecha Pa' Mi,186133,False,0.725,0.756,4,-5.013,1,0.0572,0.362,0.000685,0.103,0.828,100.07,4,latino
1687,Leon Bridges,Coming Home (Deluxe),River,240200,False,0.635,0.184,8,-10.785,1,0.0456,0.665,0.0,0.146,0.177,128.424,4,blues
1688,Empire of the Sun,Walking On A Dream (10th Anniversary Edition),Walking On A Dream,198440,False,0.871,0.701,5,-5.594,0,0.0458,0.257,7.52e-06,0.0589,0.716,126.975,4,alternative
1689,Arctic Monkeys,Favourite Worst Nightmare,505,253586,False,0.526,0.866,0,-5.822,1,0.0568,0.00287,7.78e-05,0.0945,0.248,140.266,4,indie
1690,Nessa Barrett,die first,die first,177108,False,0.444,0.669,8,-6.727,0,0.125,0.0669,0.0,0.124,0.44,183.441,4,electro
1691,Guns N' Roses,Use Your Illusion II,Knockin' On Heaven's Door,336000,False,0.496,0.739,6,-7.193,1,0.0415,0.0211,0.00444,0.106,0.378,132.41,4,metal
1692,Sam Feldt;Rita Ora,Follow Me,Follow Me,169672,False,0.673,0.729,6,-4.879,1,0.0496,0.083,0.0,0.1,0.675,122.023,4,house
1693,salem ilese;TOMORROW X TOGETHER;Alan Walker,PS5 (with TOMORROW X TOGETHER & Alan Walker),PS5 (with TOMORROW X TOGETHER & Alan Walker),152214,False,0.602,0.642,2,-5.404,0,0.211,0.0131,5.33e-06,0.0668,0.54,175.978,4,pop
1694,Soundgarden,Superunknown (Deluxe Edition),Black Hole Sun,318586,False,0.35,0.828,6,-5.373,1,0.041,0.000217,0.000161,0.0774,0.147,105.435,4,grunge
1695,Ozuna;Daddy Yankee;J Balvin;Farruko;Anuel AA,"Baila Baila Baila (Remix) [feat. Farruko, Anuel Aa]",Baila Baila Baila - Remix,235284,False,0.785,0.572,2,-7.504,1,0.123,0.0598,0.0,0.218,0.49,100.016,4,latino
1696,Cardi B;Bad Bunny;J Balvin,Invasion of Privacy,I Like It,253390,True,0.816,0.726,5,-3.998,0,0.129,0.099,0.0,0.372,0.65,136.048,4,dance
1697,Guns N' Roses,Appetite For Destruction,Sweet Child O' Mine,354520,True,0.454,0.91,6,-7.766,1,0.0448,0.0866,0.0996,0.116,0.629,125.116,4,metal
1698,My Chemical Romance,Three Cheers for Sweet Revenge,Helena,204733,False,0.356,0.96,4,-3.487,1,0.104,0.0142,0.0,0.209,0.0857,125.921,4,emo
1699,Tove Lo,2 Die 4,2 Die 4,185875,False,0.816,0.8,10,-5.705,0,0.0733,0.0283,6.03e-05,0.129,0.534,118.014,4,swedish
1700,James Arthur,Back from the Edge,Say You Won't Let Go,211466,False,0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043,4,pop
1701,flora cash,You're Somebody Else,You're Somebody Else,218883,False,0.713,0.452,1,-9.638,1,0.0295,0.841,0.0038,0.105,0.235,102.963,4,indie
1702,ENHYPEN,BORDER : CARNIVAL,FEVER,172106,False,0.6,0.713,6,-5.079,0,0.0592,0.0642,0.0,0.142,0.471,72.999,4,anime
1703,Jay Wheeler;DJ Nelson;Myke Towers,Platonicos,La Curiosidad,219048,False,0.845,0.677,11,-4.798,0,0.136,0.269,0.000917,0.108,0.68,90.013,4,latino
1704,Arctic Monkeys,AM,Do I Wanna Know?,272394,False,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,4,garage
1705,Kenny Rogers,The Gambler,The Gambler,214880,False,0.671,0.501,4,-13.119,1,0.0594,0.342,0.0,0.194,0.86,87.04,4,country
1706,Skillet,Awake,Monster,178013,False,0.64,0.957,8,-2.336,1,0.0741,0.0431,0.0,0.0789,0.692,134.992,4,alternative
1707,Adele,30,I Drink Wine,376169,False,0.437,0.565,10,-5.596,1,0.0466,0.697,0.0,0.119,0.306,115.389,4,british
1708,Lauren Spencer Smith,Flowers,Flowers,157373,True,0.684,0.449,3,-9.738,1,0.611,0.869,0.0,0.0881,0.341,66.165,4,singer-songwriter
1709,Clairo,Sling,Amoeba,228922,False,0.739,0.491,6,-11.515,1,0.027,0.791,0.0366,0.1,0.707,111.008,4,indie-pop
1710,Regard;Troye Sivan;Tate McRae,You,You,233386,True,0.691,0.695,0,-5.6,1,0.0367,0.0592,0.0,0.0647,0.514,106.064,4,edm
1711,3 Doors Down,Away From The Sun,Here Without You,238733,False,0.557,0.533,10,-6.817,0,0.0252,0.0492,0.0,0.205,0.233,143.994,4,metal
1712,Imagine Dragons,Evolve,Believer,204346,False,0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949,4,rock
1713,Billy Joel,An Innocent Man,Uptown Girl,197706,False,0.701,0.944,4,-2.986,1,0.0455,0.0755,0.0,0.601,0.792,128.993,4,folk
1714,Regard;Years & Years,Hallucination,Hallucination,174794,True,0.687,0.788,6,-5.142,0,0.0352,0.0121,0.0,0.358,0.669,123.02,4,house
1715,Beret;Estopa,Diablo,Diablo,164669,False,0.542,0.871,1,-2.871,1,0.0456,0.051,0.0,0.195,0.557,134.983,3,spanish
1716,Conan Gray,Kid Krow,Heather,198040,False,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,3,pop
1717,Nirvana,MTV Unplugged In New York,The Man Who Sold The World,261093,False,0.483,0.753,1,-8.937,0,0.0832,0.425,0.000142,0.257,0.42,115.102,4,grunge
1718,Calvin Harris,My Way,My Way,219159,False,0.818,0.913,4,-3.06,0,0.0426,0.093,3.69e-05,0.161,0.536,119.986,4,electro
1719,Marshmello;Jonas Brothers,Leave Before You Love Me,Leave Before You Love Me (with Jonas Brothers),154983,False,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,4,dance
1720,Lonely God,Marlboro Nights,Marlboro Nights,68522,False,0.466,0.823,2,-6.635,1,0.311,0.00237,0.000321,0.332,0.782,175.797,4,indie-pop
1721,Shakira;Rauw Alejandro,Te Felicito,Te Felicito,172235,False,0.695,0.636,5,-4.654,1,0.317,0.234,0.0,0.081,0.575,174.14,4,latin
1722,Marvin Gaye;Tammi Terrell,United,Ain't No Mountain High Enough,151666,False,0.663,0.6,7,-10.87,1,0.032,0.43,0.0,0.184,0.8,129.991,4,funk
1723,KAMRAD,I Believe,I Believe,147007,False,0.711,0.681,10,-7.459,1,0.0263,0.124,0.0,0.262,0.775,118.021,4,german
1724,BTS,Proof,Yet To Come,193593,False,0.559,0.885,1,-4.515,1,0.189,0.0432,0.0,0.333,0.683,172.029,4,pop
1725,Limp Bizkit,Results May Vary,Behind Blue Eyes,269973,False,0.595,0.489,7,-6.66,1,0.0271,0.497,0.0,0.119,0.0902,120.315,4,funk
1726,Marshmello;Juice WRLD,Bye Bye,Bye Bye,108498,True,0.645,0.525,3,-5.399,0,0.0355,0.0574,0.0,0.505,0.238,83.018,4,dance
1727,Snoop Dogg;Wiz Khalifa;Bruno Mars,"Young, Wild & Free (feat. Bruno Mars)","Young, Wild & Free (feat. Bruno Mars)",207333,True,0.715,0.655,0,-6.425,1,0.137,0.0525,0.0,0.115,0.531,95.078,4,funk
1728,Feid,FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM,Prohibidox,166253,False,0.647,0.801,1,-2.946,0,0.249,0.0451,0.0,0.0628,0.517,180.108,4,reggaeton
1729,Anuel AA,Brother,Brother,209578,True,0.592,0.625,10,-6.203,0,0.2,0.618,9.71e-05,0.287,0.555,166.018,4,latino
1730,The Chainsmokers;Coldplay,Something Just Like This,Something Just Like This,247626,False,0.607,0.649,11,-6.695,0,0.0362,0.0306,2.46e-05,0.174,0.505,102.996,4,edm
1731,Billie Eilish,Bored,Bored,180933,False,0.614,0.318,7,-12.695,1,0.0478,0.896,0.00239,0.0795,0.112,119.959,4,electro
1732,Franz Ferdinand,This fffire,This fffire - New Version,218080,False,0.442,0.887,4,-5.943,0,0.1,0.0259,4.57e-06,0.0655,0.637,146.358,4,alt-rock
1733,The Kid LAROI;Justin Bieber,STAY (with Justin Bieber),STAY (with Justin Bieber),141805,True,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,4,hip-hop
1734,Katy Perry;Juicy J,PRISM,Dark Horse,215672,False,0.647,0.585,6,-6.123,1,0.0512,0.00314,0.0,0.165,0.353,131.934,4,dance
1735,Lifehouse,Lifehouse,You And Me,195493,False,0.459,0.427,7,-7.734,1,0.0267,0.114,0.0,0.168,0.354,139.902,3,alt-rock
1736,The Kid LAROI,F*CK LOVE (SAVAGE),WITHOUT YOU,161384,True,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005,4,hip-hop
1737,Nicky Jam,Sin Novia,Sin Novia,188411,False,0.747,0.752,11,-5.324,1,0.0417,0.116,0.0,0.128,0.512,106.97,4,reggaeton
1738,Bring Me The Horizon,Sempiternal (Expanded Edition),Can You Feel My Heart,228146,True,0.15,0.859,4,-2.827,0,0.0595,0.00201,0.194,0.387,0.354,170.527,5,metalcore
1739,Sidhu Moose Wala;Sunny Malton;The Kidd,Levels,Levels,228705,True,0.592,0.728,2,-6.098,1,0.311,0.00148,0.0,0.379,0.577,113.17,5,hip-hop
1740,Falling In Reverse,Popular Monster,Popular Monster,220537,True,0.461,0.897,3,-3.982,0,0.092,0.00821,0.0,0.0965,0.358,165.107,4,punk
1741,a-ha,Hunting High and Low,Take on Me,225280,False,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,4,rock
1742,Alex Gaudino;Crystal Waters,Destination Calabria,Destination Calabria - Radio Edit,223111,False,0.627,0.954,2,-4.804,1,0.0425,0.0015,0.000814,0.292,0.312,128.016,4,disco
1743,Elton John;Dua Lipa;PNAU,The Lockdown Sessions,Cold Heart - PNAU Remix,202735,False,0.795,0.8,1,-6.32,1,0.0309,0.0354,7.25e-05,0.0915,0.934,116.032,4,rock
1744,The Neighbourhood,I Love You.,Sweater Weather,240400,False,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4,pop
1745,Daddy Yankee;Bad Bunny,LEGENDADDY,X ÚLTIMA VEZ,192477,True,0.812,0.855,7,-3.725,1,0.0554,0.0789,0.000167,0.108,0.573,90.04,4,latino
1746,MARINA,Electra Heart (Deluxe),Bubblegum Bitch,154666,True,0.495,0.856,0,-5.123,0,0.0311,0.000219,0.0,0.103,0.609,158.024,4,alternative
1747,The Neighbourhood,Wiped Out!,The Beach,255133,False,0.245,0.64,2,-7.426,0,0.0608,0.131,8.11e-06,0.0766,0.105,135.739,4,alt-rock
1748,Bad Bunny,Un Verano Sin Ti,Enséñame a Bailar,176000,False,0.81,0.789,8,-5.08,1,0.0846,0.191,1.08e-05,0.467,0.77,105.009,4,latino
1749,Calvin Harris;Dua Lipa;Young Thug,Potion (with Dua Lipa & Young Thug),Potion (with Dua Lipa & Young Thug),214459,True,0.824,0.697,11,-4.869,0,0.0473,0.158,4.11e-05,0.077,0.757,99.988,4,progressive-house
1750,Bruno Mars,24K Magic,That's What I Like,206693,False,0.853,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066,4,dance
1751,Myke Towers,Luces De Neón,Luces De Neón,219789,True,0.747,0.619,3,-6.009,1,0.0588,0.0865,2.03e-05,0.103,0.567,94.98,4,reggae
1752,Grouplove,Never Trust a Happy Song,Tongue Tied,218013,False,0.56,0.936,3,-5.835,1,0.0439,0.00847,0.0,0.161,0.371,112.96,4,alt-rock
1753,DJ Snake;Bipolar Sunshine,Encore,Middle,220573,False,0.583,0.695,9,-5.336,1,0.0423,0.0141,0.0,0.0527,0.224,104.879,4,electro
1754,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Reflections,244013,False,0.648,0.594,11,-7.027,0,0.0293,0.114,0.0462,0.116,0.544,113.983,4,alt-rock
1755,Arctic Monkeys,Favourite Worst Nightmare,Fluorescent Adolescent,183893,False,0.654,0.828,1,-5.377,0,0.0281,0.00146,0.000144,0.122,0.79,112.056,4,garage
1756,Burna Boy,"Love, Damini",Last Last,172342,False,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,4,dancehall
1757,DJ Snake;Bipolar Sunshine,Encore,Middle,220573,False,0.583,0.695,9,-5.336,1,0.0423,0.0141,0.0,0.0527,0.224,104.879,4,electronic
1758,Dr. Dog,"Shame, Shame (Deluxe Edition)",Where'd All the Time Go?,234800,False,0.454,0.82,2,-4.193,1,0.0567,0.132,0.000969,0.115,0.575,166.303,4,folk
1759,Demi Lovato,Confident,Cool for the Summer,214739,True,0.583,0.61,5,-5.639,0,0.0382,0.00425,0.000105,0.14,0.336,114.06,4,dance
1760,Mac DeMarco,2,My Kind of Woman,190845,False,0.501,0.765,6,-7.063,0,0.0281,0.00294,0.49,0.184,0.46,91.771,4,edm
1761,Luar La L,L3tra,Caile,141340,True,0.704,0.756,0,-4.948,1,0.448,0.298,3.75e-06,0.0852,0.461,121.737,3,latino
1762,Cigarettes After Sex,Cigarettes After Sex,Sunsetz,215150,False,0.405,0.479,5,-9.396,1,0.0301,0.0527,0.795,0.0974,0.131,75.37,4,indie
1763,Swedish House Mafia;John Martin,Don't You Worry Child,Don't You Worry Child - Radio Edit,212862,False,0.612,0.84,11,-3.145,0,0.0509,0.112,0.0,0.116,0.438,129.042,4,edm
